Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.00E-01,1.27E+05,-75.61,0.999,0
2,1.58E-01,8.56E+04,-75.35,0.999,47.9
3,2.50E-01,5.81E+04,-74.68,0.999,83.3
4,3.91E-01,3.98E+04,-73.57,0.999,110.4
5,6.04E-01,2.77E+04,-71.98,0.999,130.2
6,9.19E-01,1.96E+04,-69.85,0.998,145.9
7,1.38E+00,1.42E+04,-67.14,0.998,160.6
8,2.03E+00,1.05E+04,-63.85,0.998,168.3
9,2.93E+00,8.02E+03,-59.87,0.999,174.9
10,4.17E+00,6.30E+03,-55.31,0.999,180.1
11,5.84E+00,5.10E+03,-50.33,0.999,184.3
12,8.06E+00,4.27E+03,-45.11,0.999,187.9
13,1.10E+01,3.68E+03,-39.93,0.999,190.8
14,1.47E+01,3.27E+03,-34.97,1,193.3
15,1.95E+01,2.97E+03,-30.36,1,195.5
16,2.55E+01,2.75E+03,-26.19,1,197.5
17,3.31E+01,2.59E+03,-22.48,1,199.3
18,4.24E+01,2.47E+03,-19.23,1,200.9
19,5.39E+01,2.38E+03,-16.44,1,202.6
20,6.79E+01,2.31E+03,-14.03,1,203.9
21,8.54E+01,2.26E+03,-11.93,1,204.7
22,1.07E+02,2.22E+03,-10.07,1,205.2
23,1.35E+02,2.19E+03,-8.47,1,205.7
24,1.70E+02,2.17E+03,-7.12,1,206.1
25,2.13E+02,2.15E+03,-5.98,1,206.5
26,2.68E+02,2.13E+03,-4.96,1,206.9
27,3.37E+02,2.12E+03,-4.16,1,207.4
28,4.24E+02,2.11E+03,-3.43,1,207.8
29,5.33E+02,2.10E+03,-2.86,1,208.2
30,6.70E+02,2.10E+03,-2.39,1,208.6
31,8.43E+02,2.09E+03,-1.98,1,209.1
32,1.06E+03,2.09E+03,-1.64,1,209.5
33,1.33E+03,2.08E+03,-1.41,1,209.9
34,1.68E+03,2.08E+03,-1.15,1,210.3
35,2.11E+03,2.08E+03,-0.96,1,210.8
36,2.65E+03,2.08E+03,-0.84,1,211.2
37,3.33E+03,2.08E+03,-0.69,1,211.6
38,4.19E+03,2.07E+03,-0.58,1,212.1
39,5.26E+03,2.07E+03,-0.53,1,212.5
40,6.62E+03,2.07E+03,-0.49,1,212.9
41,8.32E+03,2.07E+03,-0.43,1,213.3
42,1.05E+04,2.07E+03,-0.44,1,213.8
43,1.32E+04,2.07E+03,-0.41,1,214.2
44,1.65E+04,2.07E+03,-0.39,1,214.6
45,2.08E+04,2.07E+03,-0.49,1,215.1
46,2.61E+04,2.07E+03,-0.6,1,215.5
47,3.29E+04,2.07E+03,-0.62,1,215.9
48,4.13E+04,2.08E+03,-0.75,1,216.4
49,5.20E+04,2.08E+03,-1,1,216.8
50,6.53E+04,2.09E+03,-1.22,1,217.2
51,8.21E+04,2.09E+03,-1.59,1,217.6
52,1.03E+05,2.10E+03,-2.08,1,218
53,1.30E+05,2.11E+03,-2.93,1,218.5
54,1.63E+05,2.13E+03,-4,1,218.9
55,2.05E+05,2.15E+03,-5.38,0.999,219.3
56,2.58E+05,2.17E+03,-7.39,1,219.8
57,3.24E+05,2.19E+03,-9.77,1,220.3
58,4.08E+05,2.21E+03,-13.43,0.999,221.1
59,5.13E+05,2.24E+03,-18.31,0.999,222.5
60,6.45E+05,2.23E+03,-24.75,0.999,224.1
61,8.11E+05,2.16E+03,-33.45,0.999,225.7
62,1.02E+06,1.99E+03,-43.74,0.999,227.2
63,1.28E+06,1.73E+03,-54.09,1,228.8
64,1.61E+06,1.44E+03,-62.65,0.999,230.4
65,2.03E+06,1.16E+03,-69.45,0.998,231.9
66,2.55E+06,9.62E+02,-72.02,0.995,233.2
67,3.20E+06,7.57E+02,-76.78,0.986,234
68,4.03E+06,6.05E+02,-77.45,0.996,234.5
69,5.06E+06,5.03E+02,-81.16,0.997,235.6
70,6.36E+06,4.36E+02,-89.54,0.983,237.4
71,8.00E+06,4.38E+02,-87.7,0.995,239.2
