Metarial,Concentration [mM],Conductivity [uS/cm],Ohmic Resistence Freq [Hz],Real Part [Ohm],Im Part [Ohm],Impedance [Ohm],DC [V],AC [V],Sweep Range Start [Hz] ,Sweep Range End [Hz]
KCl,1,182.364,6.62E+03,1.19E+04,-2.83E+02,1.19E+04,0,50m,100m,8M
KCl,1.5,231.72,1.05E+04,9.53E+03,-2.33E+02,9.54E+03,0,50m,100m,8M
KCl,2,269.437,1.65E+04,8.15E+03,-1.92E+02,8.15E+03,0,50m,100m,8M
KCl,1.953125,380.668,2.08E+04,5.63E+03,-1.19E+02,5.63E+03,0,50m,100m,8M
KCl,2.5,390.466,1.65E+04,5.61E+03,-1.34E+02,5.62E+03,0,50m,100m,8M
KCl,0.9765625,415.525,2.08E+04,5.51E+03,-1.10E+02,5.51E+03,0,50m,100m,8M
KCl,3,429.841,2.61E+04,5.01E+03,-1.04E+02,5.02E+03,0,50m,100m,8M
KCl,3.5,533.061,,,,0.00E+00,0,50m,100m,8M
KCl,3.90625,714.069,,,,0.00E+00,0,50m,100m,8M
KCl,6,880.838,,,,0.00E+00,0,50m,100m,8M
KCl,7.8125,1393.74,,,,0.00E+00,0,50m,100m,8M
KCl,15.625,2492.58,,,,0.00E+00,0,50m,100m,8M
KCl,31.25,4752.57,,,,0.00E+00,0,50m,100m,8M
KCl,62.5,9020.34,,,,0.00E+00,0,50m,100m,8M
KCl,125,16845.8,,,,0.00E+00,0,50m,100m,8M
KCl,250,30806.6,,,,0.00E+00,0,50m,100m,500k
KCl,500,58713.4,,,,0.00E+00,0,50m,100m,500k
KCl,1000,108960,,,,0.00E+00,0,50m,100m,500k
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Re,Im,Total,,,,,
,,,9533.7,-232.69,9536.539222,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
